name,supertypes,types,subtypes,colorIdentity,manaCost,convertedManaCost,edhrecRank,hasAlternativeDeckLimit,leadershipSkills,multiverseId,scryfallId,commander_legal,categories_trimmed
"Adamaro, First to Desire",Legendary,Creature,Spirit,R,{1}{R}{R},3,13507,0,1,74187,d2fa85ea-f5d5-4be3-a874-ce246c3e4245,1,
+2 Mace,,Artifact,Equipment,W,{1}{W},2,11735,0,,,e882c9f9-bf30-46b6-bedc-379d2c80e5cb,1,
Alrund's Epiphany,,Sorcery,,U,{5}{U}{U},7,,0,,,df2f81dc-2346-4bd9-aa3b-aaa2d3873415,1,
Abandon Reason,,Instant,,R,{2}{R},3,9217,0,,414412,18c0b3b3-bb62-42c5-9869-386af0540a9b,1,
Abandon the Post,,Sorcery,,R,{1}{R},2,12460,0,,,156cf728-cb3a-4c99-88aa-df18529a3c35,1,
Abandoned Sarcophagus,,Artifact,,,{3},3,6112,0,,,7dd7d787-b149-492c-bf13-3f5a01507701,1,
Abattoir Ghoul,,Creature,Zombie,B,{3}{B},4,15007,0,,409626,43297ddd-276f-4d2d-9d9c-937603d0e376,1,
Abbey Gargoyles,,Creature,Gargoyle,W,{2}{W}{W}{W},5,20754,0,,4098,29b5b70d-e5b9-4bc3-87b1-51dc6e5085a5,1,
Abbey Griffin,,Creature,Griffin,W,{3}{W},4,17003,0,,235595,bf87803b-e7c6-4122-add4-72e596167b7e,1,
Abbot of Keral Keep,,Creature,"Human,Monk",R,{1}{R},2,9515,0,,571433,cd94f624-9b35-4468-829f-106366f61c1a,1,cardraw
Aberrant Mind Sorcerer,,Creature,"Human,Elf,Shaman",U,{4}{U},5,8877,0,,527331,d9c6401a-e152-4acf-a2ca-75c484f296d5,1,
Aberrant Researcher // Perfected Form,,Creature,"Human,Insect",U,{3}{U},4,17570,0,,409790,b5c9649e-9ae5-4926-bf08-71ba23aa37f1,1,
Abhorrent Overlord,,Creature,Demon,B,{5}{B}{B},7,3015,0,,,c7e3cf6b-ac9b-40b1-a6f5-ee2193db59c0,1,
Abnormal Endurance,,Instant,,B,{1}{B},2,7131,0,,447221,de2de2bd-9ba7-4b6f-94c2-dafb2011a48e,1,
Abomination of Gudul,,Creature,Horror,"B,G,U",{3}{B}{G}{U},6,18614,0,,386463,7df9759e-1072-4a6a-be57-f73b15bf3847,1,cardraw
Abomination of Llanowar,Legendary,Creature,"Elf,Horror","B,G",{1}{B}{G},3,2833,0,1,497785,567dbc64-4d59-4bab-a551-08fc66c085fa,1,
Abrade,,Instant,,R,{1}{R},2,239,0,,489787,24da9431-7e52-44f5-bc18-2f2d8a4ca81e,1,removal
Abrupt Decay,,Instant,,"B,G",{B}{G},2,436,0,,456061,02517f12-cd8a-4d62-89cb-523b9b9295d5,1,removal
Absolver Thrull,,Creature,"Thrull,Cleric",W,{3}{W},4,18221,0,,96953,711979c3-e70b-4973-a4f1-020db534fc73,1,
Absorb,,Instant,,"U,W",{W}{U}{U},3,4360,0,,23155,5d6a0f3e-457f-41f5-be26-5fb249874f1a,1,
Absorb Energy,,Instant,,U,{1}{U}{U},3,,0,,,bfdca67d-9a97-4ddc-8d50-26a48ad2e4b7,0,
Absorb Identity,,Instant,,U,{1}{U},2,10367,0,,506925,aa1c6bcc-2d43-4ea9-a93f-019793616869,1,
Absorb Vis,,Sorcery,,B,{6}{B},7,13986,0,,416883,e319956e-982b-4bba-829a-67bf4ef79d74,1,
Abstruse Interference,,Instant,,U,{2}{U},3,13043,0,,407550,249a7be3-311e-4ce6-97dc-97242463ae23,1,pseudo_ramp
Abuna Acolyte,,Creature,"Cat,Cleric",W,{1}{W},2,19462,0,,194371,9e17bbf7-00c0-46f2-9718-2762fd7388d3,1,
Abuna's Chant,,Instant,,W,{3}{W},4,18222,0,,50164,b9e0bf63-0399-40d6-9162-4562d7bcdd0e,1,
Abundance,,Enchantment,,G,{2}{G}{G},4,1261,0,,130483,46184f97-d5c9-4a98-9fd9-e19057ce9b7e,1,
Abundant Growth,,Enchantment,Aura,G,{G},1,2097,0,,532537,1a05b2f6-a6b3-4e30-904b-0dc85d124ef8,1,"ramp,cardraw"
Abundant Maw,,Creature,"Eldrazi,Leech",B,{8},8,17201,0,,414290,8a4e7ef7-7958-4d7c-b319-4d3db7955002,1,
Abyssal Nocturnus,,Creature,Horror,B,{1}{B}{B},3,14210,0,,96858,fe094903-45a6-4b11-b80e-aabe915c4b7c,1,
Abyssal Persecutor,,Creature,Demon,B,{2}{B}{B},4,5258,0,,389422,2ff15389-10a1-49d7-b1c2-d7a13e151612,1,
Abyssal Specter,,Creature,Specter,B,{2}{B}{B},4,10950,0,,3822,2be32aca-94d0-46df-9ca9-503a51416b14,1,
Abzan Advantage,,Instant,,W,{1}{W},2,15876,0,,391781,3ffd46f5-afd1-4130-b019-d8822e61fdfa,1,
Abzan Ascendancy,,Enchantment,,"B,G,W",{W}{B}{G},3,4888,0,,571498,80b722d9-be9d-463c-929e-78f7156af9c6,1,
Abzan Banner,,Artifact,,"B,G,W",{3},3,9932,0,,386465,7855528a-ede9-49a9-8749-795a004fd927,1,"manarock,cardraw"
Abzan Battle Priest,,Creature,"Human,Cleric",W,{3}{W},4,2836,0,,438568,3f2877ac-195b-4397-89bd-0bee3220b2a4,1,
Abzan Beastmaster,,Creature,"Dog,Shaman",G,{2}{G},3,5820,0,,,6e8abee6-87e6-4d1a-a117-aeb8122c5199,1,cardraw
Abzan Charm,,Instant,,"B,G,W",{W}{B}{G},3,2536,0,,571499,1757a916-60d3-4f6b-8759-32a1645dadd2,1,"removal,cardraw"
Abzan Falconer,,Creature,"Human,Soldier",W,{2}{W},3,1403,0,,571337,db62ac2c-0d24-4d6f-a6ca-cca4371a3bd7,1,
Abzan Guide,,Creature,"Human,Warrior","B,G,W",{3}{W}{B}{G},6,21535,0,,386469,1b7f7158-4a31-4a1c-bf3b-574c0b09276a,1,
Abzan Kin-Guard,,Creature,"Human,Warrior",G,{3}{G},4,19986,0,,391783,cec0ef55-57fd-404f-b9f6-b5d41e77b58c,1,
Abzan Runemark,,Enchantment,Aura,W,{2}{W},3,14158,0,,391784,fe356261-3126-41f1-ae71-b69ca5641f84,1,
Abzan Skycaptain,,Creature,"Bird,Soldier",W,{3}{W},4,18174,0,,391785,c4195373-e902-4fc3-aead-1f6e728dbbae,1,
Academic Dispute,,Instant,,R,{R},1,11935,0,,513568,4620cc3b-e401-4096-b310-fed080806344,1,
Academic Probation,,Sorcery,Lesson,W,{1}{W},2,17560,0,,,835fad03-45f2-4998-a17a-9ad2a2cd9ea3,1,
Academy Drake,,Creature,Drake,U,{2}{U},3,17592,0,,442928,f8bacb12-da46-4b00-804f-9ff6bff452bc,1,
Academy Elite,,Creature,"Human,Wizard",U,{3}{U},4,13568,0,,420698,f3728fbb-3a99-443a-b514-40f9990669c5,1,
Academy Journeymage,,Creature,"Human,Wizard",U,{4}{U},5,14753,0,,442929,a46a65e0-66a3-4896-8acc-0ad5e9927c40,1,
Academy Raider,,Creature,"Human,Warrior",R,{2}{R},3,14836,0,,370735,6652ed29-ee90-4abc-a6cf-6b18a6cbae86,1,cardraw
Academy Researchers,,Creature,"Human,Wizard",U,{1}{U}{U},3,16374,0,,132072,b62ca800-ec24-476e-b56f-834eef9622a9,1,
Acclaimed Contender,,Creature,"Human,Knight",W,{2}{W},3,5441,0,,472963,fb6b12e7-bb93-4eb6-bad1-b256a6ccff4e,1,cardraw
Accomplished Alchemist,,Creature,"Elf,Druid",G,{3}{G},4,3411,0,,,a23efea0-0dd4-48f5-b1e9-5610eaaa69d0,1,manadork
Accomplished Automaton,,"Artifact,Creature",Construct,,{7},7,15408,0,,489903,aa453daf-6ceb-4e45-bfb3-f6f45835ac11,1,
Accorder Paladin,,Creature,"Human,Knight",W,{1}{W},2,11322,0,,213818,df0a4370-729d-40e7-b68b-21902648492d,1,
Accorder's Shield,,Artifact,Equipment,,{0},0,5528,0,,370581,c5a4c2ab-c5bc-4e07-8671-a688ebd5471c,1,
Accumulated Knowledge,,Instant,,U,{1}{U},2,19987,0,,442029,ad88e5ee-0eee-47af-a7b4-9bac044e1c8c,1,cardraw
Accursed Horde,,Creature,Zombie,B,{3}{B},4,13794,0,,476092,709bcbca-7238-4c31-8d9e-ec0d54d0b298,1,
Accursed Spirit,,Creature,Spirit,B,{3}{B},4,19032,0,,370811,cf08313b-14c9-4e0b-aad7-05cbd90b1ed8,1,
Accursed Witch // Infectious Curse,,Creature,"Human,Shaman",B,{3}{B},4,5752,0,,409843,8093f8b0-5d50-48ca-b616-e92535a47138,1,
Acererak the Archlich,Legendary,Creature,"Zombie,Wizard",B,{2}{B},3,2877,0,1,527374,dd52d0bd-3abd-401c-9f56-ee911613da3b,1,
Acid Rain,,Sorcery,,U,{3}{U},4,16549,0,,1470,ba93c50a-2440-4e92-9cba-d97e20b1d29c,1,
Acid Web Spider,,Creature,Spider,G,{3}{G}{G},5,12198,0,,209290,968a25a5-9ec1-47fa-bf1f-e65eb75fdb00,1,
Acidic Slime,,Creature,Ooze,G,{3}{G}{G},5,291,0,,532538,2a6d791f-11c1-44ce-8084-591250b9f802,1,
Acidic Sliver,,Creature,Sliver,"B,R",{B}{R},2,10793,0,,207897,f2e23d03-9ee4-44c1-88d3-7708ef5b79c9,1,removal
Acid-Spewer Dragon,,Creature,Dragon,B,{5}{B},6,14159,0,,394485,aa8f58f1-4843-4926-b3c4-98898201c216,1,
Acolyte of Affliction,,Creature,"Human,Cleric","B,G",{2}{B}{G},4,5652,0,,476457,a14afed6-ca42-442d-ba86-621179e6957c,1,
Acolyte of the Inferno,,Creature,"Human,Monk",R,{2}{R},3,20129,0,,398574,186581c7-81a6-4c27-b8a9-ff7f7a4b1d40,1,removal
Acolyte of Xathrid,,Creature,"Human,Cleric",B,{B},1,17788,0,,190579,4b0b14d4-41de-42ac-9894-77bbcebaabfc,1,
Acolyte's Reward,,Instant,,W,{1}{W},2,15117,0,,378373,cd8980af-c3fa-4027-917a-4a3d441c0a75,1,
Acorn Catapult,,Artifact,,,{4},4,8100,0,,233197,834354a3-f984-4882-bc71-080112107e64,1,
Cosmos Elixir,,Artifact,,,{4},4,,0,,,f7f1ce0b-6668-4d16-8fe0-07c65ce4bc82,1,cardraw
Acquire,,Sorcery,,U,{3}{U}{U},5,5880,0,,51088,993957c7-5d61-4c98-826d-b657aed667e1,1,
Acquisitions Expert,,Creature,"Human,Rogue",B,{1}{B},2,11071,0,,491722,281336c7-ca7c-4c91-bdfb-d253a965cb7c,1,
Acrobatic Maneuver,,Instant,,W,{2}{W},3,5410,0,,417574,74f92174-f38f-4623-a5f7-f5be7f7dcc9d,1,cardraw
Act of Aggression,,Instant,,R,{3}{R/P}{R/P},5,5544,0,,405118,8d34c3aa-7d74-4a8b-898c-cb62b1f05989,1,
Act of Authority,,Enchantment,,W,{1}{W}{W},3,6069,0,,376238,e107bd35-eddd-40f7-aea8-3a1eec3363c0,1,
Act of Heroism,,Instant,,W,{1}{W},2,13379,0,,441990,969860ba-6923-4715-b065-81803bba3dd6,1,
Act of Treason,,Sorcery,,R,{2}{R},3,3666,0,,442107,2e05fce1-0092-497d-9b43-a130fea0e06c,1,
Act on Impulse,,Sorcery,,R,{2}{R},3,9472,0,,383176,bfe513d1-2509-4051-ba85-49a19479fa5c,1,cardraw
Active Volcano,,Instant,,R,{R},1,14145,0,,2839,56adb184-f261-40e1-bdf3-e85d7d13faa2,1,removal
Ad Nauseam,,Instant,,B,{3}{B}{B},5,665,0,,489749,a9f2c53e-ff58-4aa8-89a6-4f45628cc571,1,cardraw
Adamant Will,,Instant,,W,{1}{W},2,5769,0,,,90077eb1-e335-48c5-947a-f6f666687135,1,
Adanto Vanguard,,Creature,"Vampire,Soldier",W,{1}{W},2,8571,0,,,0d0950bb-d68d-4774-910e-4a72aa59f7ad,1,
Adaptive Automaton,,"Artifact,Creature",Construct,,{3},3,1600,0,,489904,ba16bfb3-dbd3-4b3a-b155-08b613268d57,1,
Adaptive Shimmerer,,Creature,Insect,,{5},5,17084,0,,479521,d8a2e243-e446-46c6-8a37-e26620951c41,1,
Adaptive Snapjaw,,Creature,"Lizard,Beast",G,{4}{G},5,17677,0,,366290,0d3c0c43-2d6d-49b8-a112-07611a23ae69,1,
Adarkar Sentinel,,"Artifact,Creature",Soldier,,{5},5,22850,0,,2392,ff62754b-f4f0-4731-8dd7-327a820f60a8,1,
Adarkar Valkyrie,Snow,Creature,Angel,W,{4}{W}{W},6,4344,0,,389423,742cd669-c570-4f14-9bce-acfd08a27ed5,1,
Adarkar Windform,Snow,Creature,Illusion,U,{4}{U},5,18345,0,,121268,c18bce4a-9afb-4b91-bc9a-d62634b0f8dd,1,
Adder-Staff Boggart,,Creature,"Goblin,Warrior",R,{1}{R},2,19875,0,,145992,d116839f-6a3a-4a2e-a3ab-ea177c012746,1,
Addle,,Sorcery,,B,{1}{B},2,17852,0,,23030,e8afb9d0-affa-4599-bf29-729cfe64703b,1,
"Adeline, Resplendent Cathar",Legendary,Creature,"Human,Knight",W,{1}{W}{W},3,764,0,1,,9c5743e9-7fae-483a-b591-496afdd905f2,1,
"Adeliz, the Cinder Wind",Legendary,Creature,"Human,Wizard","R,U",{1}{U}{R},3,6067,0,1,443078,b3c950e2-a43b-47f8-9ad6-1909ccc7acbf,1,
Demilich,,Creature,"Skeleton,Wizard",U,{U}{U}{U}{U},4,,0,,,e200b8f1-3738-4db4-a2b3-7aeb4c2fd59b,1,cardraw
Adherent of Hope,,Creature,"Human,Soldier",W,{1}{W},2,22285,0,,488627,ce2bc7ad-458d-445e-a0a9-7897b596fdd0,1,
Admiral Beckett Brass,Legendary,Creature,"Human,Pirate","B,R,U",{1}{U}{B}{R},4,5555,0,1,,0004311b-646a-4df8-a4b4-9171642e9ef4,1,
Admiral's Order,,Instant,,U,{1}{U}{U},3,6654,0,,,27e508f2-5f4e-4d8c-8e72-b896d5e204ad,1,
Admonition Angel,,Creature,Angel,W,{3}{W}{W}{W},6,3521,0,,,4800ebc2-d5a7-4c26-a2f7-943a540ae47e,1,removal
Adorned Pouncer,,Creature,Cat,W,{1}{W},2,4118,0,,,2f5c8b10-eacd-4a7e-aa25-e3406d5c0b5a,1,
"Adriana, Captain of the Guard",Legendary,Creature,"Human,Knight","R,W",{3}{R}{W},5,2722,0,1,482828,d29569dd-6d79-412d-bc14-674cd1705260,1,
"Adrix and Nev, Twincasters",Legendary,Creature,"Merfolk,Wizard","G,U",{2}{G}{U},4,1289,0,1,518315,d495e084-92ec-4675-b6aa-8ade2775b796,1,
Druid Class,,Enchantment,Class,G,{1}{G},2,,0,,,8cbd3554-0096-470d-ba9d-011f5c8212c4,1,pseudo_ramp
Adult Gold Dragon,,Creature,Dragon,"R,W",{3}{R}{W},5,6821,0,,527503,67a76010-d932-4727-8b5e-b8e2d14e1362,1,
Adun Oakenshield,Legendary,Creature,"Human,Knight","B,G,R",{B}{R}{G},3,15291,0,1,1642,60252226-a102-4d88-9b80-42d021b5184d,1,
Advanced Hoverguard,,Creature,Drone,U,{3}{U},4,21892,0,,50144,7384d50a-5801-47ed-ab9f-5c7e4f1f20dd,1,
Advanced Stitchwing,,Creature,"Zombie,Horror",U,{3}{U}{U},5,14529,0,,571369,044b2bfc-a5cc-4505-831d-5e1e3a6fdb3c,1,
Advent of the Wurm,,Instant,,"G,W",{1}{G}{G}{W},4,7415,0,,369036,f40284e6-01a1-4372-a92c-940e5732607e,1,
Adventure Awaits,,Sorcery,,G,{1}{G},2,9636,0,,491822,db50f988-da46-4b9b-9cc5-78497df2df8b,1,cardraw
Adventuring Gear,,Artifact,Equipment,,{1},1,10057,0,,178135,3aa395f2-656e-4bf3-bd9b-6240bd3e2774,1,
Adventurous Impulse,,Sorcery,,G,{G},1,4757,0,,443041,f426c92c-6e71-49f0-9a91-0d529bf8c17d,1,cardraw
Adverse Conditions,,Instant,,U,{3}{U},4,14633,0,,401803,03d86e0b-294f-41b8-a5cd-d3144a019334,1,pseudo_ramp
Advice from the Fae,,Sorcery,,U,{2/U}{2/U}{2/U},6,15073,0,,154408,d874f345-e623-4317-9aa7-66d14a011303,1,cardraw
Advocate of the Beast,,Creature,"Elf,Shaman",G,{2}{G},3,17274,0,,370738,b1320400-5aa8-48d6-be84-197b4559456f,1,
"Aegar, the Freezing Flame",Legendary,Creature,"Giant,Wizard","R,U",{1}{U}{R},3,6789,0,1,503816,68011f60-6202-48f4-8255-fb94764e2951,1,cardraw
Aegis Angel,,Creature,Angel,W,{4}{W}{W},6,4488,0,,430540,3d27e65f-6d55-420e-a843-16097b50f7a2,1,
Aegis Automaton,,"Artifact,Creature",Construct,W,{2},2,16628,0,,423808,e5f9fa2d-4bf4-4fcb-9b76-fd4a9ff5a58c,1,
Aegis of the Gods,,"Enchantment,Creature","Human,Soldier",W,{1}{W},2,3890,0,,380364,f2b2f381-86a2-42ac-b694-dcde437d574f,1,
Aegis of the Heavens,,Instant,,W,{1}{W},2,9947,0,,489563,a94f356d-4714-4500-8fb0-1ac68ec5c1cf,1,
Aegis Turtle,,Creature,Turtle,U,{U},1,9263,0,,479559,e433e7f0-7417-4dfe-a7a4-3f222b0a835f,1,
Aeolipile,,Artifact,,,{2},2,20092,0,,1827,a09030ee-415c-45af-bf08-7623197a314f,1,removal
Aeon Chronicler,,Creature,Avatar,U,{3}{U}{U},5,6463,0,,420699,8d108f7a-d255-424d-8936-340150371e81,1,cardraw
Aeon Engine,,Artifact,,,{5},5,10418,0,,470598,ea4dfdd7-f35a-45d6-9fc7-2c096f92dd5f,1,
Aerial Assault,,Sorcery,,W,{2}{W},3,10551,0,,489564,58e84a4a-034f-4f55-a827-e62f2b61f091,1,removal
Aerial Engineer,,Creature,"Human,Artificer","U,W",{2}{W}{U},4,21481,0,,447347,5314bae2-4930-4f8a-8a52-853bc3feb88f,1,
Aerial Formation,,Instant,,U,{U},1,16315,0,,380365,fce86785-bc03-451e-8422-8bb53082cc12,1,
Aerial Guide,,Creature,Drake,U,{2}{U},3,18583,0,,,79c594bf-ca60-49d6-8c87-ed9d9f138334,1,
Aerial Maneuver,,Instant,,W,{1}{W},2,16979,0,,366294,c63e9c49-3fa4-41ad-9eed-19801df103c6,1,
Aerial Modification,,Enchantment,Aura,W,{4}{W},5,10577,0,,423668,b89cab47-25fb-49ea-bb43-90a0089b6b20,1,
Aerial Predation,,Instant,,G,{2}{G},3,15118,0,,438720,3b405858-83eb-4939-b86d-4ba190fca048,1,removal
Aerial Responder,,Creature,"Dwarf,Soldier",W,{1}{W}{W},3,4690,0,,482700,8833065e-5022-4f48-b2fd-6fe5647c0a07,1,
Aerial Volley,,Instant,,G,{G},1,19451,0,,398565,c5178301-f766-48d3-af07-6bd6f822c725,1,removal
Aerie Bowmasters,,Creature,"Dog,Archer",G,{2}{G}{G},4,17764,0,,394486,a6db26b5-d28c-4524-9347-eec412d584bc,1,
Aerie Mystics,,Creature,"Bird,Wizard","G,U,W",{4}{W},5,13786,0,,376239,23f0bae7-dceb-486d-8fdd-0a5666a9057b,1,
Aerie Ouphes,,Creature,Ouphe,G,{4}{G},5,11012,0,,153427,b2e4cb09-c99f-4a17-a6fd-55c9a169a808,1,removal
Aerie Worshippers,,Creature,"Human,Cleric",U,{3}{U},4,17894,0,,378402,06c8b3b9-f0fb-4cc1-8916-82ee2c74f089,1,
Aeromunculus,,Creature,"Homunculus,Mutant","G,U",{1}{G}{U},3,17497,0,,457296,671c94c1-df52-4985-ad78-3e1c9c78df18,1,
Aeronaut Admiral,,Creature,"Human,Pilot",W,{3}{W},4,4606,0,,423669,ff15c06c-160d-4960-92d5-6f8e7b33f051,1,
